time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
751.0,wp_2,4.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Fail'],,,29.0,0.005603,5.0,6.0,0.13333333333333341,0.7,0.8
702.0,wp_5,2.0,wc_2,"{'Pass': 15, 'Fail': 85}",['Fail'],,,,,,78.0,,,,,,,,
781.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
781.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
762.0,wp_1,1.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_3', 0.39)]",0.6828000000000001,['Fail'],,,30.0,0.006679999999999999,3.0,6.0,0.020000000000000018,0.48,0.4
793.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
736.0,wp_4,1.0,wc_1,"{'Pass': 50, 'Fail': 50}","['Pass', 'Fail']",,,,,,66.0,,,,,,,,
803.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
794.0,wp_1,1.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_3', 0.39), ('wc_4', 0.48)]",0.927044,['Fail'],,,20.0,0.051748,4.0,7.0,-0.19857142857142862,0.77,0.8
816.0,wp_1,1.0,,,,,,,,,,41.0,,,,,,,
782.0,wp_2,4.0,,,,wc_3,1.0,"[('wc_3', 0.39), ('wc_1', 0.53), ('wc_2', 0.7)]",0.91399,['Fail'],,,35.0,0.042109999999999995,4.0,8.0,0.10999999999999999,0.39,0.3
782.0,wp_5,2.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Fail'],,,35.0,0.002303,6.0,8.0,0.050000000000000044,0.7,0.8
818.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
819.0,wp_2,2.0,,,,,,,,,,101.0,,,,,,,
804.0,wp_4,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,23.0,0.002225,5.0,8.0,0.09499999999999997,0.53,0.4
828.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
829.0,wp_4,1.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Fail'],,,35.0,0.005372,6.0,8.0,0.050000000000000044,0.7,0.8
865.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
866.0,wp_4,1.0,,,,wc_4,0.0,"[('wc_1', 0.53), ('wc_2', 0.7)]",0.859,['Fail'],,,29.0,0.005529,4.0,8.0,0.020000000000000018,0.48,0.4
896.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
857.0,wp_1,1.0,wc_1,"{'Pass': 19, 'Fail': 81}",['Fail'],,,,,,51.0,,,,,,,,
909.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
895.0,wp_5,2.0,,,,wc_3,0.0,"[('wc_3', 0.39), ('wc_2', 0.7)]",0.817,['Fail'],,,29.0,0.009069,4.0,8.0,0.10999999999999999,0.39,0.3
847.0,wp_3,3.0,wc_3,"{'Pass': 43, 'Fail': 57}",['Fail'],,,,,,78.0,,,,,,,,
925.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
926.0,wp_3,3.0,,,,,,,,,,0.0,,,,,,,
897.0,wp_4,1.0,,,,wc_5,0.0,"[('wc_5', 0.77), ('wc_4', 0.48)]",0.8804,['Pass'],,,38.0,0.007377,4.0,8.0,-0.27,0.77,0.8
936.0,wp_4,1.0,,,,,,,,,,61.0,,,,,,,
910.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,35.0,0.002243,5.0,8.0,0.09499999999999997,0.53,0.4
946.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
927.0,wp_3,3.0,,,,wc_3,0.0,"[('wc_3', 0.39)]",0.39,['Pass'],,,20.0,0.007919,4.0,8.0,0.10999999999999999,0.39,0.3
948.0,wp_3,3.0,,,,,,,,,,0.0,,,,,,,
926.0,wp_5,2.0,,,,wc_4,1.0,"[('wc_4', 0.48), ('wc_2', 0.7), ('wc_3', 0.39)]",0.90484,['Fail'],,,40.0,0.046386,5.0,9.0,0.0755555555555556,0.48,0.4
968.0,wp_5,4.0,,,,,,,,,,0.0,,,,,,,
949.0,wp_3,3.0,,,,wc_5,0.0,"[('wc_5', 0.77)]",0.77,['Fail'],,,22.0,0.004791999999999999,4.0,9.0,-0.3255555555555556,0.77,0.8
972.0,wp_3,3.0,,,,,,,,,,41.0,,,,,,,
981.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Fail'],,,35.0,0.003971,7.0,9.0,0.07777777777777783,0.7,0.8
956.0,wp_2,2.0,wc_2,"{'Pass': 37, 'Fail': 63}",['Fail'],,,,,,60.0,,,,,,,,
1017.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1017.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
997.0,wp_4,1.0,,,,wc_6,1.0,"[('wc_6', 0.3), ('wc_1', 0.53), ('wc_2', 0.7)]",0.9013,['Fail'],,,29.0,0.040673,2.0,10.0,-0.09999999999999998,0.3,0.2
1028.0,wp_4,1.0,,,,,,,,,,202.0,,,,,,,
1013.0,wp_3,3.0,,,,wc_1,0.0,"[('wc_5', 0.77)]",0.77,['Fail'],,,25.0,0.008838,6.0,10.0,0.06999999999999995,0.53,0.4
1039.0,wp_3,3.0,,,,,,,,,,0.0,,,,,,,
1018.0,wp_1,1.0,,,,wc_3,1.0,"[('wc_3', 0.39), ('wc_1', 0.53), ('wc_2', 0.7)]",0.91399,['Fail'],,,26.0,0.053577,6.0,11.0,0.1554545454545454,0.39,0.3
1018.0,wp_2,2.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Fail'],,,30.0,0.002705,9.0,11.0,0.11818181818181828,0.7,0.8
1049.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1046.0,wp_3,3.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_5', 0.77)]",0.8804,['Fail'],,,31.0,0.010766,5.0,11.0,-0.025454545454545452,0.48,0.4
1001.0,wp_5,4.0,wc_4,"{'Pass': 87, 'Fail': 13}",['Pass'],,,,,,76.0,,,,,,,,
1078.0,wp_3,3.0,,,,,,,,,,81.0,,,,,,,
1078.0,wp_5,4.0,,,,,,,,,,0.0,,,,,,,
1050.0,wp_2,2.0,,,,wc_3,0.0,"[('wc_3', 0.39), ('wc_2', 0.7)]",0.817,['Fail'],,,34.0,0.005282,0.0,0.0,-0.39,0.39,0.3
1085.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1079.0,wp_5,4.0,,,,wc_4,0.0,"[('wc_4', 0.48)]",0.48,['Pass'],,,33.0,0.005448,0.0,0.0,-0.48,0.48,0.4
1086.0,wp_2,2.0,,,,wc_5,0.0,"[('wc_2', 0.7), ('wc_3', 0.39)]",0.817,['Fail'],,,27.0,0.008116,4.0,11.0,-0.40636363636363637,0.77,0.8
1113.0,wp_5,4.0,,,,,,,,,,61.0,,,,,,,
1114.0,wp_2,2.0,,,,,,,,,,61.0,,,,,,,
1159.0,wp_3,3.0,,,,wc_2,1.0,"[('wc_2', 0.7), ('wc_3', 0.39), ('wc_1', 0.53)]",0.91399,['Pass'],,,34.0,0.039398999999999997,1.0,1.0,0.30000000000000004,0.7,0.8
